EVALID,LOCATION_NM,START_INVYR,END_INVYR
12201,Alabama,2015,2022
21801,Alaska,2007,2018
21921,Alaska,2014,2019
41901,Arizona,2010,2019
52101,Arkansas,2017,2021
61901,California,2008,2019
81901,Colorado,2010,2019
92101,Connecticut,2015,2021
102101,Delaware,2015,2021
121901,Florida,2014,2019
132101,Georgia,2015,2021
161901,Idaho,2010,2019
172101,Illinois,2015,2021
182101,Indiana,2015,2021
192101,Iowa,2015,2021
202001,Kansas,2014,2020
211901,Kentucky,2013,2019
221901,Louisiana,2011,2019
232101,Maine,2017,2021
242001,Maryland,2014,2020
252001,Massachusetts,2014,2020
261901,Michigan,2013,2019
271901,Minnesota,2015,2019
282001,Mississippi,2016,2020
292101,Missouri,2015,2021
301901,Montana,2010,2019
312001,Nebraska,2014,2020
321901,Nevada,2010,2019
332101,New Hampshire,2015,2021
342001,New Jersey,2016,2020
351901,New Mexico,2010,2019
362001,New York,2014,2020
372101,North Carolina,2016,2021
382101,North Dakota,2015,2021
392001,Ohio,2014,2020
401901,Oklahoma,2010,2019
411901,Oregon,2008,2019
422101,Pennsylvania,2015,2021
442101,Rhode Island,2015,2021
452101,South Carolina,2017,2021
462001,South Dakota,2014,2020
471801,Tennessee,2012,2018
481901,Texas,2004,2019
491901,Utah,2010,2019
502101,Vermont,2015,2021
512101,Virginia,2017,2021
531901,Washington,2008,2019
542101,West Virginia,2015,2021
552101,Wisconsin,2015,2021
561901,Wyoming,2011,2019
