census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income,median_age
530330013001,custom_0,53,53033,001300,1,Seattle Central Library,15,50,31,4.9375710315538,3.068063449447616,53,33,1300,1,1500000US530330013001,Block Group 1,BG,502578,0,1583.0,79554.0,40.3
530330013003,custom_0,53,53033,001300,3,Seattle Central Library,15,50,31,4.527814379100442,2.813452548556021,53,33,1300,3,1500000US530330013003,Block Group 3,BG,433496,0,1462.0,87332.0,33.0
530330014003,custom_0,53,53033,001400,3,Seattle Central Library,15,50,31,4.056751635895938,2.5207478207482947,53,33,1400,3,1500000US530330014003,Block Group 3,BG,378784,0,1481.0,-666666666.0,36.4
530330014004,custom_0,53,53033,001400,4,Seattle Central Library,15,50,31,4.244504918870583,2.6374122659435333,53,33,1400,4,1500000US530330014004,Block Group 4,BG,936450,213389,1594.0,139868.0,40.5
530330015001,custom_0,53,53033,001500,1,Seattle Central Library,15,50,31,3.174959784303709,1.97282793613258,53,33,1500,1,1500000US530330015001,Block Group 1,BG,522351,0,1494.0,138081.0,53.3
530330015002,custom_0,53,53033,001500,2,Seattle Central Library,15,50,31,3.1381404261299157,1.949949454724772,53,33,1500,2,1500000US530330015002,Block Group 2,BG,645360,526885,1301.0,171250.0,45.6
530330016001,custom_0,53,53033,001600,1,Seattle Central Library,15,50,31,3.905856531655883,2.4269859789315475,53,33,1600,1,1500000US530330016001,Block Group 1,BG,984746,320118,1546.0,233750.0,43.3
530330016002,custom_0,53,53033,001600,2,Seattle Central Library,15,50,31,3.0896117215086547,1.9197951250055543,53,33,1600,2,1500000US530330016002,Block Group 2,BG,661512,0,1445.0,250001.0,46.4
530330016003,custom_0,53,53033,001600,3,Seattle Central Library,15,50,31,2.776558833403173,1.725273138870563,53,33,1600,3,1500000US530330016003,Block Group 3,BG,374100,0,1723.0,157222.0,38.7
530330017011,custom_0,53,53033,001701,1,Seattle Central Library,15,50,31,3.248042697384787,2.0182395389166827,53,33,1701,1,1500000US530330017011,Block Group 1,BG,323766,0,1791.0,87054.0,30.9
530330017012,custom_0,53,53033,001701,2,Seattle Central Library,15,50,31,3.8060305380517687,2.3649570014597656,53,33,1701,2,1500000US530330017012,Block Group 2,BG,304871,0,1460.0,86860.0,35.9
530330017013,custom_0,53,53033,001701,3,Seattle Central Library,15,50,31,4.372221022546485,2.716771349000732,53,33,1701,3,1500000US530330017013,Block Group 3,BG,264131,0,993.0,117569.0,32.0
530330017021,custom_0,53,53033,001702,1,Seattle Central Library,15,50,31,4.08591550272588,2.5388694018442832,53,33,1702,1,1500000US530330017021,Block Group 1,BG,222242,0,1476.0,75900.0,34.5
530330017022,custom_0,53,53033,001702,2,Seattle Central Library,15,50,31,2.8627749401119935,1.7788453273123295,53,33,1702,2,1500000US530330017022,Block Group 2,BG,324914,0,1706.0,145708.0,34.9
530330017023,custom_0,53,53033,001702,3,Seattle Central Library,15,50,31,3.277397903928121,2.0364800129617207,53,33,1702,3,1500000US530330017023,Block Group 3,BG,294322,0,1026.0,73125.0,49.3
530330017024,custom_0,53,53033,001702,4,Seattle Central Library,15,50,31,3.614322890280311,2.245835428656367,53,33,1702,4,1500000US530330017024,Block Group 4,BG,438742,0,1042.0,112303.0,38.1
530330018001,custom_0,53,53033,001800,1,Seattle Central Library,15,50,31,4.05422576484974,2.519178317730448,53,33,1800,1,1500000US530330018001,Block Group 1,BG,424904,0,2267.0,134625.0,27.9
530330018002,custom_0,53,53033,001800,2,Seattle Central Library,15,50,31,3.9243558314578184,2.4384809073487763,53,33,1800,2,1500000US530330018002,Block Group 2,BG,244088,0,1387.0,98818.0,30.6
530330018003,custom_0,53,53033,001800,3,Seattle Central Library,15,50,31,4.054251874911945,2.5191945417659105,53,33,1800,3,1500000US530330018003,Block Group 3,BG,277093,0,1373.0,98551.0,32.0
530330019001,custom_0,53,53033,001900,1,Seattle Central Library,15,50,31,3.7476658275587043,2.3286908629359795,53,33,1900,1,1500000US530330019001,Block Group 1,BG,414424,0,1626.0,180978.0,35.7
530330019002,custom_0,53,53033,001900,2,Seattle Central Library,15,50,31,3.6875073836797045,2.2913101505044415,53,33,1900,2,1500000US530330019002,Block Group 2,BG,486932,0,1131.0,164844.0,36.1
530330019004,custom_0,53,53033,001900,4,Seattle Central Library,15,50,31,4.32246552224518,2.6858547240230095,53,33,1900,4,1500000US530330019004,Block Group 4,BG,684710,0,1360.0,92961.0,34.4
530330020001,custom_0,53,53033,002000,1,Seattle Central Library,15,50,31,3.68095072225863,2.287236031240567,53,33,2000,1,1500000US530330020001,Block Group 1,BG,331627,0,1496.0,124052.0,35.6
530330020002,custom_0,53,53033,002000,2,Seattle Central Library,15,50,31,4.144418651915618,2.57522156215946,53,33,2000,2,1500000US530330020002,Block Group 2,BG,387944,0,1301.0,99545.0,42.6
530330020003,custom_0,53,53033,002000,3,Seattle Central Library,15,50,31,3.511577650219711,2.181992516094672,53,33,2000,3,1500000US530330020003,Block Group 3,BG,383742,28680,1418.0,147667.0,37.6
530330021001,custom_0,53,53033,002100,1,Seattle Central Library,15,50,31,4.208789194540155,2.6152195506006106,53,33,2100,1,1500000US530330021001,Block Group 1,BG,503595,0,1656.0,175833.0,44.4
530330021002,custom_0,53,53033,002100,2,Seattle Central Library,15,50,31,4.0274360229206065,2.5025319489982003,53,33,2100,2,1500000US530330021002,Block Group 2,BG,482793,0,1904.0,128750.0,35.1
530330021003,custom_0,53,53033,002100,3,Seattle Central Library,15,50,31,3.5220415913131213,2.1884945056358256,53,33,2100,3,1500000US530330021003,Block Group 3,BG,379080,0,1051.0,101343.0,31.3
530330022001,custom_0,53,53033,002200,1,Seattle Central Library,15,50,31,5.0206252794826,3.1196709505373823,53,33,2200,1,1500000US530330022001,Block Group 1,BG,616108,0,2197.0,169908.0,39.5
530330022002,custom_0,53,53033,002200,2,Seattle Central Library,15,50,31,4.382134078078479,2.722931034229703,53,33,2200,2,1500000US530330022002,Block Group 2,BG,567842,0,1493.0,198868.0,39.0
530330022003,custom_0,53,53033,002200,3,Seattle Central Library,15,50,31,5.019537191108206,3.1189948439760973,53,33,2200,3,1500000US530330022003,Block Group 3,BG,635932,1154953,1219.0,96607.0,45.8
530330024001,custom_0,53,53033,002400,1,Seattle Central Library,15,50,31,3.572694643149321,2.219968843108337,53,33,2400,1,1500000US530330024001,Block Group 1,BG,556855,0,1605.0,200118.0,50.2
530330024002,custom_0,53,53033,002400,2,Seattle Central Library,15,50,31,3.1919737725566923,1.9833999350273246,53,33,2400,2,1500000US530330024002,Block Group 2,BG,405673,0,1574.0,131518.0,39.0
530330025001,custom_0,53,53033,002500,1,Seattle Central Library,15,50,31,2.9399857358764234,1.826821876687269,53,33,2500,1,1500000US530330025001,Block Group 1,BG,622001,0,1426.0,150625.0,37.6
530330025002,custom_0,53,53033,002500,2,Seattle Central Library,15,50,31,2.142431630449897,1.3312448846442828,53,33,2500,2,1500000US530330025002,Block Group 2,BG,362333,0,2040.0,147000.0,36.8
530330026001,custom_0,53,53033,002600,1,Seattle Central Library,15,50,31,2.9206542297118747,1.8148098393702974,53,33,2600,1,1500000US530330026001,Block Group 1,BG,245365,0,1350.0,137500.0,37.9
