census_block_group,poi_id,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,zcta5,arealand,areawater,total_population,median_household_income,median_age
98101,custom_0,Seattle Central Library,15,50,31,0.5714112507572907,0.3550583802943085,98101,1368352,277671,14528.0,96893.0,35.1
98102,custom_0,Seattle Central Library,15,50,31,1.7562245185261725,1.0912669853011263,98102,3333538,950145,25396.0,102466.0,33.3
98103,custom_0,Seattle Central Library,15,50,31,2.542700436064201,1.5799603126576487,98103,11887656,1652061,52210.0,113443.0,33.7
98104,custom_0,Seattle Central Library,15,50,31,0.6764507619577266,0.4203268864084345,98104,2448373,477423,14469.0,60955.0,36.0
98105,custom_0,Seattle Central Library,15,50,31,2.316557262384497,1.4394415026851175,98105,9938155,6103584,49448.0,73343.0,24.1
98106,custom_0,Seattle Central Library,15,50,31,3.3244191321061694,2.0656976405359426,98106,14208665,906800,27489.0,84506.0,35.4
98107,custom_0,Seattle Central Library,15,50,31,0.38419108445231925,0.23872519833722208,98107,5650047,680664,27116.0,113531.0,34.1
98108,custom_0,Seattle Central Library,15,50,31,6.093799111354945,3.7865100476217335,98108,19167998,920385,23759.0,74985.0,37.1
98109,custom_0,Seattle Central Library,15,50,31,2.1908860104244785,1.3613530311834687,98109,5010639,785098,29376.0,111059.0,32.2
98112,custom_0,Seattle Central Library,15,50,31,2.852079480894046,1.7721994791226143,98112,8298456,5385571,24412.0,133267.0,39.2
98115,custom_0,Seattle Central Library,15,50,31,3.573008369125906,2.2201637833321333,98115,16971335,5183870,53729.0,128443.0,37.1
98116,custom_0,Seattle Central Library,15,50,31,1.602583468684799,0.9957988925201423,98116,7773788,2928643,27190.0,124795.0,39.1
98117,custom_0,Seattle Central Library,15,50,31,2.2133835318503094,1.3753323385693585,98117,10298866,1730140,36365.0,146887.0,39.9
98118,custom_0,Seattle Central Library,15,50,31,8.530410111722656,5.300549461531219,98118,16163790,7058372,48937.0,94790.0,38.4
98119,custom_0,Seattle Central Library,15,50,31,3.525760421802734,2.190805279055987,98119,6279544,1320344,26094.0,106245.0,34.0
98121,custom_0,Seattle Central Library,15,50,31,1.6765779863926,1.0417769399827563,98121,1148902,526540,21010.0,135823.0,34.2
98122,custom_0,Seattle Central Library,15,50,31,2.2263852843027365,1.3834112504924758,98122,6050458,2020259,41541.0,87418.0,30.9
98126,custom_0,Seattle Central Library,15,50,31,1.7849923576222215,1.1091424862480774,98126,8020426,687104,22030.0,97368.0,38.5
98134,custom_0,Seattle Central Library,15,50,31,3.1645668930504454,1.9663700949016483,98134,8595897,1646931,808.0,64375.0,41.2
98136,custom_0,Seattle Central Library,15,50,31,3.1227304793153867,1.9403741606626812,98136,5943033,2163626,17245.0,130978.0,40.5
98144,custom_0,Seattle Central Library,15,50,31,3.7701057431770684,2.3426343757436783,98144,8725990,4720939,31648.0,90239.0,38.1
98154,custom_0,Seattle Central Library,15,50,31,0.128122314299181,0.07961149055839639,98154,9147,0,0.0,-666666666.0,-666666666.0
98164,custom_0,Seattle Central Library,15,50,31,0.02687361633383064,0.016698485854968678,98164,9165,0,250.0,250001.0,36.9
98174,custom_0,Seattle Central Library,15,50,31,0.3054989553811067,0.18982819140411367,98174,9145,0,0.0,-666666666.0,-666666666.0
98195,custom_0,Seattle Central Library,15,50,31,0.872815705564518,0.5423423677823301,98195,1021945,51914,2259.0,-666666666.0,19.2
98199,custom_0,Seattle Central Library,15,50,31,2.547864278950872,1.5831689748759823,98199,10968972,4175129,22890.0,148878.0,38.9
