census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income
370370207024,3,37,37037,020702,4,Fuquay-Varina Community Library,15,50,31,19.438917079531024,12.078779344625271,37,37,20702,4,1500000US370370207024,Block Group 4,BG,88261687,6180531,827.0,58833.0
370850708011,3,37,37085,070801,1,Fuquay-Varina Community Library,15,50,31,16.03970154786882,9.966605390500796,37,85,70801,1,1500000US370850708011,Block Group 1,BG,38047897,182306,2097.0,50893.0
370850709011,3,37,37085,070901,1,Fuquay-Varina Community Library,15,50,31,9.285353155274228,5.7696491754459025,37,85,70901,1,1500000US370850709011,Block Group 1,BG,6691154,85151,3351.0,61555.0
370850709021,3,37,37085,070902,1,Fuquay-Varina Community Library,15,50,31,13.042385735189676,8.104160266660545,37,85,70902,1,1500000US370850709021,Block Group 1,BG,24170186,609827,2257.0,56779.0
370850709031,3,37,37085,070903,1,Fuquay-Varina Community Library,15,50,31,12.74505549172874,7.919407875950979,37,85,70903,1,1500000US370850709031,Block Group 1,BG,21761653,243273,2642.0,73889.0
370850709041,3,37,37085,070904,1,Fuquay-Varina Community Library,15,50,31,7.045537271876086,4.377892540162915,37,85,70904,1,1500000US370850709041,Block Group 1,BG,9118275,19533,1323.0,43990.0
370850709042,3,37,37085,070904,2,Fuquay-Varina Community Library,15,50,31,10.56958716652329,6.5676349472497435,37,85,70904,2,1500000US370850709042,Block Group 2,BG,13904692,0,2772.0,77593.0
370850710021,3,37,37085,071002,1,Fuquay-Varina Community Library,15,50,31,13.289928423308638,8.257976114319712,37,85,71002,1,1500000US370850710021,Block Group 1,BG,72074947,645924,2942.0,57569.0
370850710022,3,37,37085,071002,2,Fuquay-Varina Community Library,15,50,31,14.737369778271889,9.157374196494581,37,85,71002,2,1500000US370850710022,Block Group 2,BG,29209676,519259,891.0,52865.0
370850710031,3,37,37085,071003,1,Fuquay-Varina Community Library,15,50,31,8.014098561167923,4.979728437051474,37,85,71003,1,1500000US370850710031,Block Group 1,BG,21645502,26997,1100.0,107311.0
370850710032,3,37,37085,071003,2,Fuquay-Varina Community Library,15,50,31,13.101965983692189,8.1411817052528,37,85,71003,2,1500000US370850710032,Block Group 2,BG,19718329,16326,2234.0,68088.0
370850710033,3,37,37085,071003,3,Fuquay-Varina Community Library,15,50,31,12.602519469979061,7.830840125580359,37,85,71003,3,1500000US370850710033,Block Group 3,BG,10617622,0,444.0,80270.0
370850710041,3,37,37085,071004,1,Fuquay-Varina Community Library,15,50,31,8.152547313033704,5.065756476447066,37,85,71004,1,1500000US370850710041,Block Group 1,BG,22882158,0,1768.0,67981.0
371010411131,3,37,37101,041113,1,Fuquay-Varina Community Library,15,50,31,15.836609572645196,9.840409926764119,37,101,41113,1,1500000US371010411131,Block Group 1,BG,4195392,0,2259.0,142518.0
371010411132,3,37,37101,041113,2,Fuquay-Varina Community Library,15,50,31,14.228809146413397,8.84136936811604,37,101,41113,2,1500000US371010411132,Block Group 2,BG,5182844,18364,947.0,120440.0
371010415071,3,37,37101,041507,1,Fuquay-Varina Community Library,15,50,31,15.278720415084717,9.493753783041605,37,101,41507,1,1500000US371010415071,Block Group 1,BG,4013143,0,1238.0,71731.0
371010415072,3,37,37101,041507,2,Fuquay-Varina Community Library,15,50,31,15.998289707390935,9.940873273771214,37,101,41507,2,1500000US371010415072,Block Group 2,BG,5481396,32313,1477.0,111556.0
371010415073,3,37,37101,041507,3,Fuquay-Varina Community Library,15,50,31,16.153029875190672,10.037024326577104,37,101,41507,3,1500000US371010415073,Block Group 3,BG,2317207,16594,1614.0,122935.0
371010415074,3,37,37101,041507,4,Fuquay-Varina Community Library,15,50,31,14.931899604325702,9.278249389039466,37,101,41507,4,1500000US371010415074,Block Group 4,BG,2344735,0,505.0,55045.0
371010415081,3,37,37101,041508,1,Fuquay-Varina Community Library,15,50,31,12.280792600870535,7.630928379195526,37,101,41508,1,1500000US371010415081,Block Group 1,BG,4719606,13192,467.0,58523.0
371010415082,3,37,37101,041508,2,Fuquay-Varina Community Library,15,50,31,11.33623364950681,7.044006839027696,37,101,41508,2,1500000US371010415082,Block Group 2,BG,11002885,11955,535.0,56038.0
371010415083,3,37,37101,041508,3,Fuquay-Varina Community Library,15,50,31,13.68839554382652,8.505572027463028,37,101,41508,3,1500000US371010415083,Block Group 3,BG,7387935,15488,2115.0,98298.0
371010415092,3,37,37101,041509,2,Fuquay-Varina Community Library,15,50,31,16.6640255613668,10.354542227092049,37,101,41509,2,1500000US371010415092,Block Group 2,BG,8272793,0,1146.0,104097.0
371010415112,3,37,37101,041511,2,Fuquay-Varina Community Library,15,50,31,14.463319600572063,8.987087363527063,37,101,41511,2,1500000US371010415112,Block Group 2,BG,13150483,56037,630.0,-666666666.0
371830528011,3,37,37183,052801,1,Fuquay-Varina Community Library,15,50,31,16.26103154550535,10.104133432462206,37,183,52801,1,1500000US371830528011,Block Group 1,BG,1759560,430252,929.0,124750.0
371830528024,3,37,37183,052802,4,Fuquay-Varina Community Library,15,50,31,17.465615177567685,10.85262676850041,37,183,52802,4,1500000US371830528024,Block Group 4,BG,2202037,4255,1205.0,60906.0
371830529011,3,37,37183,052901,1,Fuquay-Varina Community Library,15,50,31,12.102063789862546,7.51987147917068,37,183,52901,1,1500000US371830529011,Block Group 1,BG,7018619,16360,1770.0,116250.0
371830529012,3,37,37183,052901,2,Fuquay-Varina Community Library,15,50,31,9.507983960321246,5.907985501408773,37,183,52901,2,1500000US371830529012,Block Group 2,BG,13732812,18454,892.0,66667.0
371830529022,3,37,37183,052902,2,Fuquay-Varina Community Library,15,50,31,15.238766264840889,9.468927432750448,37,183,52902,2,1500000US371830529022,Block Group 2,BG,7243378,0,1667.0,74174.0
371830529023,3,37,37183,052902,3,Fuquay-Varina Community Library,15,50,31,14.084219988278706,8.751525858336729,37,183,52902,3,1500000US371830529023,Block Group 3,BG,7613850,0,3086.0,78319.0
371830529031,3,37,37183,052903,1,Fuquay-Varina Community Library,15,50,31,15.044989471355604,9.348520152805703,37,183,52903,1,1500000US371830529031,Block Group 1,BG,7231446,1068900,1151.0,106754.0
371830529032,3,37,37183,052903,2,Fuquay-Varina Community Library,15,50,31,15.229095414489738,9.462918246796903,37,183,52903,2,1500000US371830529032,Block Group 2,BG,5475504,0,2398.0,109943.0
371830529051,3,37,37183,052905,1,Fuquay-Varina Community Library,15,50,31,9.96350251422652,6.191031520767447,37,183,52905,1,1500000US371830529051,Block Group 1,BG,6348439,0,2068.0,76094.0
