name,latitude,longitude,type,address,city,subtype
empty building,38.3619358,-97.2109783,small_grocer,", , KS",,supermarket
IGA Moundridge Food Market,38.2020556,-97.5092898,small_grocer,"Avenue A, Moundridge, KS 67107",Moundridge,supermarket
Dillons,37.7507859,-97.2639694,small_grocer,"North Woodlawn Boulevard, Wichita, KS 67220",Wichita,supermarket
Dillons,37.6658735,-97.2273391,small_grocer,"East Harry Street, Wichita, KS 67207",Wichita,supermarket
Alco,38.3487289,-98.2188876,small_grocer,"West Main Street, Lyons, KS 67554",Lyons,supermarket
Keith's Foods,38.2467289,-97.3470535,small_grocer,", , KS",,supermarket
Nancy's Grocery Store,38.0979881,-95.883798,small_grocer,", , KS",,supermarket
Unnamed supermarket,38.0981137,-95.8837216,small_grocer,", , KS",,supermarket
Dillons,37.053505,-100.920457,small_grocer,"North Kansas Avenue, Liberal, KS 67901",Liberal,supermarket
The Best Market,37.0246099,-100.9241373,small_grocer,", , KS",,supermarket
Ray's Apple Market,39.3803193,-97.1469149,small_grocer,"West Crawford Street, Clay Center, KS 67432",Clay Center,supermarket
Dillons,37.9764396,-100.857881,small_grocer,"East Kansas Avenue, Garden City, KS 67846",Garden City,supermarket
Dillons,37.9766764,-100.8845751,small_grocer,"Buffalo Jones Avenue, Garden City, KS 67846",Garden City,supermarket
Asian Market,39.1679954,-96.5959963,small_grocer,", , KS",,supermarket
Dillons,39.0504494,-95.727357,small_grocer,"Southwest 10th Avenue, Topeka, KS 66604",Topeka,supermarket
Dillons,37.6770593,-97.4969485,small_grocer,"West Maple Street, Wichita, KS 67235",Wichita,supermarket
Country Mart,37.3399212,-95.2669006,small_grocer,", , KS",,supermarket
Price Chopper,38.853248,-94.6697048,small_grocer,", , KS",,supermarket
SunFresh,39.0978415,-94.6477591,small_grocer,", , KS 66102",,supermarket
Save-A-Lot,39.1155142,-94.7684496,small_grocer,"State Avenue, Kansas City, KS 66112",Kansas City,supermarket
Price Chopper,39.1175925,-94.7567551,small_grocer,"State Avenue, Kansas City, KS 66112",Kansas City,supermarket
Trader Joe's,38.9124389,-94.6359163,small_grocer,"West 119th Street, Leawood, KS 66209",Leawood,supermarket
