name,latitude,longitude,type,address,city,subtype
Walmart Neighborhood Market,37.6380625,-97.3542217,walmart,"South Seneca Street, Wichita, KS 67217",Wichita,neighborhood_market
Walmart Supercenter,37.6753851,-97.4135134,walmart,"West Kellogg Drive, Wichita, KS 67209",Wichita,supercenter
Sam's Club,37.6755934,-97.4155032,walmart,"West Kellogg Drive, Wichita, KS 67209",Wichita,sams_club
Walmart Supercenter,39.1885494,-96.5561951,walmart,"Bluemont Avenue, Manhattan, KS 66502",Manhattan,supercenter
Walmart Supercenter,37.7246596,-97.4659237,walmart,"West 21st Street North, Wichita, KS 67205",Wichita,supercenter
Walmart Supercenter,38.9031723,-99.3212377,walmart,"North Vine Street, Hays, KS 67601",Hays,supercenter
Walmart Supercenter,39.3672031,-101.0474868,walmart,"West Willow Avenue, Colby, KS 67701",Colby,supercenter
Walmart Supercenter,39.8433927,-96.6050795,walmart,"Pony Expressway Highway, Marysville, KS 66508",Marysville,supercenter
Walmart Supercenter,38.8862013,-94.837975,walmart,"North K 7 Highway, Olathe, KS 66061",Olathe,supercenter
Walmart Supercenter,38.8808455,-94.758279,walmart,"South Alden Street, Olathe, KS 66062",Olathe,supercenter
Walmart,39.0355597,-94.6411796,walmart,"Roe Boulevard, Roeland Park, KS 66205",Roeland Park,walmart
Sam's Club,37.7461541,-97.2477132,walmart,"North Rock Road, Wichita, KS 67226",Wichita,sams_club
Walmart Supercenter,39.039507,-95.764634,walmart,"Southwest Wanamaker Road, Topeka, KS 66604",Topeka,supercenter
Sam's Club,39.0415914,-95.7646319,walmart,"Southwest Wanamaker Road, Topeka, KS 66604",Topeka,sams_club
Walmart Supercenter,37.6764097,-97.2044033,walmart,"East Kellogg Drive, Wichita, KS 67207",Wichita,supercenter
Walmart Supercenter,38.3675959,-97.6281843,walmart,"South Centennial Drive, McPherson, KS 67460",McPherson,supercenter
Walmart Neighborhood Market,37.0454444,-100.9425588,walmart,"North Western Avenue, Liberal, KS 67901",Liberal,neighborhood_market
Walmart Supercenter,39.5508555,-97.6604647,walmart,"East College Drive, Concordia, KS 66901",Concordia,supercenter
Walmart Supercenter,37.7387961,-97.2418017,walmart,"North Rock Road, Wichita, KS 67226",Wichita,supercenter
Walmart Supercenter,37.3722097,-95.2560594,walmart,"North 16th Street, Parsons, KS 67357",Parsons,supercenter
Walmart Supercenter,38.808859,-94.8931075,walmart,"East Santa Fe Street, Gardner, KS 66030",Gardner,supercenter
