Population,Block_Group_Name,State_FIPS,County_FIPS,Tract_Code,Block_Group_Number,Block_Group_ID
1385,"Block Group 1, Census Tract 201, Alamance County, North Carolina",37,001,020100,1,370010201001
1347,"Block Group 2, Census Tract 201, Alamance County, North Carolina",37,001,020100,2,370010201002
973,"Block Group 3, Census Tract 201, Alamance County, North Carolina",37,001,020100,3,370010201003
519,"Block Group 4, Census Tract 201, Alamance County, North Carolina",37,001,020100,4,370010201004
750,"Block Group 1, Census Tract 202, Alamance County, North Carolina",37,001,020200,1,370010202001
519,"Block Group 2, Census Tract 202, Alamance County, North Carolina",37,001,020200,2,370010202002
1024,"Block Group 3, Census Tract 202, Alamance County, North Carolina",37,001,020200,3,370010202003
1915,"Block Group 4, Census Tract 202, Alamance County, North Carolina",37,001,020200,4,370010202004
1281,"Block Group 1, Census Tract 203.01, Alamance County, North Carolina",37,001,020301,1,370010203011
999,"Block Group 2, Census Tract 203.01, Alamance County, North Carolina",37,001,020301,2,370010203012
1628,"Block Group 3, Census Tract 203.01, Alamance County, North Carolina",37,001,020301,3,370010203013
1384,"Block Group 1, Census Tract 203.02, Alamance County, North Carolina",37,001,020302,1,370010203021
2227,"Block Group 2, Census Tract 203.02, Alamance County, North Carolina",37,001,020302,2,370010203022
2240,"Block Group 1, Census Tract 204, Alamance County, North Carolina",37,001,020400,1,370010204001
2314,"Block Group 2, Census Tract 204, Alamance County, North Carolina",37,001,020400,2,370010204002
241,"Block Group 3, Census Tract 204, Alamance County, North Carolina",37,001,020400,3,370010204003
433,"Block Group 4, Census Tract 204, Alamance County, North Carolina",37,001,020400,4,370010204004
945,"Block Group 5, Census Tract 204, Alamance County, North Carolina",37,001,020400,5,370010204005
2636,"Block Group 1, Census Tract 205.01, Alamance County, North Carolina",37,001,020501,1,370010205011
1224,"Block Group 2, Census Tract 205.01, Alamance County, North Carolina",37,001,020501,2,370010205012
3032,"Block Group 1, Census Tract 205.02, Alamance County, North Carolina",37,001,020502,1,370010205021
386,"Block Group 2, Census Tract 205.02, Alamance County, North Carolina",37,001,020502,2,370010205022
923,"Block Group 3, Census Tract 205.02, Alamance County, North Carolina",37,001,020502,3,370010205023
914,"Block Group 1, Census Tract 206.01, Alamance County, North Carolina",37,001,020601,1,370010206011
1065,"Block Group 2, Census Tract 206.01, Alamance County, North Carolina",37,001,020601,2,370010206012
1255,"Block Group 3, Census Tract 206.01, Alamance County, North Carolina",37,001,020601,3,370010206013
625,"Block Group 1, Census Tract 206.02, Alamance County, North Carolina",37,001,020602,1,370010206021
2003,"Block Group 2, Census Tract 206.02, Alamance County, North Carolina",37,001,020602,2,370010206022
1216,"Block Group 1, Census Tract 207.01, Alamance County, North Carolina",37,001,020701,1,370010207011
1445,"Block Group 2, Census Tract 207.01, Alamance County, North Carolina",37,001,020701,2,370010207012
734,"Block Group 3, Census Tract 207.01, Alamance County, North Carolina",37,001,020701,3,370010207013
2216,"Block Group 4, Census Tract 207.01, Alamance County, North Carolina",37,001,020701,4,370010207014
1315,"Block Group 1, Census Tract 207.02, Alamance County, North Carolina",37,001,020702,1,370010207021
1225,"Block Group 2, Census Tract 207.02, Alamance County, North Carolina",37,001,020702,2,370010207022
2005,"Block Group 3, Census Tract 207.02, Alamance County, North Carolina",37,001,020702,3,370010207023
955,"Block Group 4, Census Tract 207.02, Alamance County, North Carolina",37,001,020702,4,370010207024
1819,"Block Group 1, Census Tract 208.01, Alamance County, North Carolina",37,001,020801,1,370010208011
642,"Block Group 1, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,1,370010208021
963,"Block Group 2, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,2,370010208022
1443,"Block Group 3, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,3,370010208023
1067,"Block Group 4, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,4,370010208024
541,"Block Group 5, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,5,370010208025
1253,"Block Group 6, Census Tract 208.02, Alamance County, North Carolina",37,001,020802,6,370010208026
898,"Block Group 1, Census Tract 209.01, Alamance County, North Carolina",37,001,020901,1,370010209011
1271,"Block Group 2, Census Tract 209.01, Alamance County, North Carolina",37,001,020901,2,370010209012
1380,"Block Group 3, Census Tract 209.01, Alamance County, North Carolina",37,001,020901,3,370010209013
2441,"Block Group 1, Census Tract 209.02, Alamance County, North Carolina",37,001,020902,1,370010209021
1770,"Block Group 2, Census Tract 209.02, Alamance County, North Carolina",37,001,020902,2,370010209022
1559,"Block Group 1, Census Tract 210, Alamance County, North Carolina",37,001,021000,1,370010210001
2012,"Block Group 2, Census Tract 210, Alamance County, North Carolina",37,001,021000,2,370010210002
1152,"Block Group 3, Census Tract 210, Alamance County, North Carolina",37,001,021000,3,370010210003
480,"Block Group 1, Census Tract 211.01, Alamance County, North Carolina",37,001,021101,1,370010211011
2323,"Block Group 2, Census Tract 211.01, Alamance County, North Carolina",37,001,021101,2,370010211012
464,"Block Group 3, Census Tract 211.01, Alamance County, North Carolina",37,001,021101,3,370010211013
980,"Block Group 1, Census Tract 211.02, Alamance County, North Carolina",37,001,021102,1,370010211021
994,"Block Group 2, Census Tract 211.02, Alamance County, North Carolina",37,001,021102,2,370010211022
1415,"Block Group 3, Census Tract 211.02, Alamance County, North Carolina",37,001,021102,3,370010211023
3266,"Block Group 1, Census Tract 212.01, Alamance County, North Carolina",37,001,021201,1,370010212011
1984,"Block Group 2, Census Tract 212.01, Alamance County, North Carolina",37,001,021201,2,370010212012
1024,"Block Group 3, Census Tract 212.01, Alamance County, North Carolina",37,001,021201,3,370010212013
1136,"Block Group 1, Census Tract 212.04, Alamance County, North Carolina",37,001,021204,1,370010212041
3731,"Block Group 2, Census Tract 212.04, Alamance County, North Carolina",37,001,021204,2,370010212042
641,"Block Group 1, Census Tract 212.05, Alamance County, North Carolina",37,001,021205,1,370010212051
2014,"Block Group 2, Census Tract 212.05, Alamance County, North Carolina",37,001,021205,2,370010212052
5046,"Block Group 3, Census Tract 212.05, Alamance County, North Carolina",37,001,021205,3,370010212053
1127,"Block Group 1, Census Tract 212.06, Alamance County, North Carolina",37,001,021206,1,370010212061
2521,"Block Group 2, Census Tract 212.06, Alamance County, North Carolina",37,001,021206,2,370010212062
1934,"Block Group 3, Census Tract 212.06, Alamance County, North Carolina",37,001,021206,3,370010212063
1807,"Block Group 1, Census Tract 212.07, Alamance County, North Carolina",37,001,021207,1,370010212071
1638,"Block Group 2, Census Tract 212.07, Alamance County, North Carolina",37,001,021207,2,370010212072
1421,"Block Group 1, Census Tract 213, Alamance County, North Carolina",37,001,021300,1,370010213001
1062,"Block Group 2, Census Tract 213, Alamance County, North Carolina",37,001,021300,2,370010213002
929,"Block Group 3, Census Tract 213, Alamance County, North Carolina",37,001,021300,3,370010213003
1332,"Block Group 4, Census Tract 213, Alamance County, North Carolina",37,001,021300,4,370010213004
1401,"Block Group 5, Census Tract 213, Alamance County, North Carolina",37,001,021300,5,370010213005
1481,"Block Group 1, Census Tract 214, Alamance County, North Carolina",37,001,021400,1,370010214001
939,"Block Group 2, Census Tract 214, Alamance County, North Carolina",37,001,021400,2,370010214002
759,"Block Group 1, Census Tract 215, Alamance County, North Carolina",37,001,021500,1,370010215001
1074,"Block Group 2, Census Tract 215, Alamance County, North Carolina",37,001,021500,2,370010215002
2746,"Block Group 3, Census Tract 215, Alamance County, North Carolina",37,001,021500,3,370010215003
822,"Block Group 1, Census Tract 216, Alamance County, North Carolina",37,001,021600,1,370010216001
1072,"Block Group 2, Census Tract 216, Alamance County, North Carolina",37,001,021600,2,370010216002
2163,"Block Group 3, Census Tract 216, Alamance County, North Carolina",37,001,021600,3,370010216003
3604,"Block Group 4, Census Tract 216, Alamance County, North Carolina",37,001,021600,4,370010216004
1568,"Block Group 1, Census Tract 217.01, Alamance County, North Carolina",37,001,021701,1,370010217011
1887,"Block Group 2, Census Tract 217.01, Alamance County, North Carolina",37,001,021701,2,370010217012
2320,"Block Group 1, Census Tract 217.02, Alamance County, North Carolina",37,001,021702,1,370010217021
2547,"Block Group 2, Census Tract 217.02, Alamance County, North Carolina",37,001,021702,2,370010217022
1745,"Block Group 3, Census Tract 217.02, Alamance County, North Carolina",37,001,021702,3,370010217023
2940,"Block Group 1, Census Tract 217.03, Alamance County, North Carolina",37,001,021703,1,370010217031
3335,"Block Group 2, Census Tract 217.03, Alamance County, North Carolina",37,001,021703,2,370010217032
1162,"Block Group 3, Census Tract 217.03, Alamance County, North Carolina",37,001,021703,3,370010217033
2647,"Block Group 1, Census Tract 218.01, Alamance County, North Carolina",37,001,021801,1,370010218011
1119,"Block Group 2, Census Tract 218.01, Alamance County, North Carolina",37,001,021801,2,370010218012
1042,"Block Group 3, Census Tract 218.01, Alamance County, North Carolina",37,001,021801,3,370010218013
2095,"Block Group 1, Census Tract 218.02, Alamance County, North Carolina",37,001,021802,1,370010218021
1808,"Block Group 2, Census Tract 218.02, Alamance County, North Carolina",37,001,021802,2,370010218022
1847,"Block Group 1, Census Tract 218.03, Alamance County, North Carolina",37,001,021803,1,370010218031
1485,"Block Group 2, Census Tract 218.03, Alamance County, North Carolina",37,001,021803,2,370010218032
1568,"Block Group 1, Census Tract 219.01, Alamance County, North Carolina",37,001,021901,1,370010219011
2097,"Block Group 2, Census Tract 219.01, Alamance County, North Carolina",37,001,021901,2,370010219012
1340,"Block Group 3, Census Tract 219.01, Alamance County, North Carolina",37,001,021901,3,370010219013
1843,"Block Group 1, Census Tract 219.02, Alamance County, North Carolina",37,001,021902,1,370010219021
492,"Block Group 2, Census Tract 219.02, Alamance County, North Carolina",37,001,021902,2,370010219022
1566,"Block Group 3, Census Tract 219.02, Alamance County, North Carolina",37,001,021902,3,370010219023
2015,"Block Group 1, Census Tract 220.01, Alamance County, North Carolina",37,001,022001,1,370010220011
1642,"Block Group 2, Census Tract 220.01, Alamance County, North Carolina",37,001,022001,2,370010220012
1791,"Block Group 1, Census Tract 220.02, Alamance County, North Carolina",37,001,022002,1,370010220021
1285,"Block Group 2, Census Tract 220.02, Alamance County, North Carolina",37,001,022002,2,370010220022
1160,"Block Group 3, Census Tract 220.02, Alamance County, North Carolina",37,001,022002,3,370010220023
1089,"Block Group 1, Census Tract 401, Alexander County, North Carolina",37,003,040100,1,370030401001
548,"Block Group 2, Census Tract 401, Alexander County, North Carolina",37,003,040100,2,370030401002
1467,"Block Group 3, Census Tract 401, Alexander County, North Carolina",37,003,040100,3,370030401003
1137,"Block Group 1, Census Tract 402, Alexander County, North Carolina",37,003,040200,1,370030402001
617,"Block Group 2, Census Tract 402, Alexander County, North Carolina",37,003,040200,2,370030402002
1960,"Block Group 3, Census Tract 402, Alexander County, North Carolina",37,003,040200,3,370030402003
852,"Block Group 1, Census Tract 403, Alexander County, North Carolina",37,003,040300,1,370030403001
2206,"Block Group 2, Census Tract 403, Alexander County, North Carolina",37,003,040300,2,370030403002
1677,"Block Group 1, Census Tract 404, Alexander County, North Carolina",37,003,040400,1,370030404001
1335,"Block Group 2, Census Tract 404, Alexander County, North Carolina",37,003,040400,2,370030404002
1392,"Block Group 3, Census Tract 404, Alexander County, North Carolina",37,003,040400,3,370030404003
1159,"Block Group 4, Census Tract 404, Alexander County, North Carolina",37,003,040400,4,370030404004
781,"Block Group 5, Census Tract 404, Alexander County, North Carolina",37,003,040400,5,370030404005
1479,"Block Group 1, Census Tract 405, Alexander County, North Carolina",37,003,040500,1,370030405001
596,"Block Group 2, Census Tract 405, Alexander County, North Carolina",37,003,040500,2,370030405002
1716,"Block Group 3, Census Tract 405, Alexander County, North Carolina",37,003,040500,3,370030405003
2846,"Block Group 4, Census Tract 405, Alexander County, North Carolina",37,003,040500,4,370030405004
1525,"Block Group 1, Census Tract 406, Alexander County, North Carolina",37,003,040600,1,370030406001
2313,"Block Group 2, Census Tract 406, Alexander County, North Carolina",37,003,040600,2,370030406002
2232,"Block Group 3, Census Tract 406, Alexander County, North Carolina",37,003,040600,3,370030406003
682,"Block Group 4, Census Tract 406, Alexander County, North Carolina",37,003,040600,4,370030406004
1012,"Block Group 1, Census Tract 407, Alexander County, North Carolina",37,003,040700,1,370030407001
2377,"Block Group 2, Census Tract 407, Alexander County, North Carolina",37,003,040700,2,370030407002
1412,"Block Group 3, Census Tract 407, Alexander County, North Carolina",37,003,040700,3,370030407003
2081,"Block Group 4, Census Tract 407, Alexander County, North Carolina",37,003,040700,4,370030407004
1049,"Block Group 1, Census Tract 9501, Alleghany County, North Carolina",37,005,950100,1,370059501001
1286,"Block Group 2, Census Tract 9501, Alleghany County, North Carolina",37,005,950100,2,370059501002
845,"Block Group 3, Census Tract 9501, Alleghany County, North Carolina",37,005,950100,3,370059501003
917,"Block Group 4, Census Tract 9501, Alleghany County, North Carolina",37,005,950100,4,370059501004
1013,"Block Group 1, Census Tract 9502, Alleghany County, North Carolina",37,005,950200,1,370059502001
760,"Block Group 2, Census Tract 9502, Alleghany County, North Carolina",37,005,950200,2,370059502002
1343,"Block Group 3, Census Tract 9502, Alleghany County, North Carolina",37,005,950200,3,370059502003
773,"Block Group 4, Census Tract 9502, Alleghany County, North Carolina",37,005,950200,4,370059502004
1232,"Block Group 1, Census Tract 9503, Alleghany County, North Carolina",37,005,950300,1,370059503001
965,"Block Group 2, Census Tract 9503, Alleghany County, North Carolina",37,005,950300,2,370059503002
727,"Block Group 3, Census Tract 9503, Alleghany County, North Carolina",37,005,950300,3,370059503003
513,"Block Group 1, Census Tract 9201, Anson County, North Carolina",37,007,920100,1,370079201001
1152,"Block Group 2, Census Tract 9201, Anson County, North Carolina",37,007,920100,2,370079201002
1313,"Block Group 3, Census Tract 9201, Anson County, North Carolina",37,007,920100,3,370079201003
1733,"Block Group 1, Census Tract 9202, Anson County, North Carolina",37,007,920200,1,370079202001
875,"Block Group 1, Census Tract 9203.01, Anson County, North Carolina",37,007,920301,1,370079203011
2007,"Block Group 2, Census Tract 9203.01, Anson County, North Carolina",37,007,920301,2,370079203012
1551,"Block Group 3, Census Tract 9203.01, Anson County, North Carolina",37,007,920301,3,370079203013
461,"Block Group 1, Census Tract 9203.02, Anson County, North Carolina",37,007,920302,1,370079203021
505,"Block Group 1, Census Tract 9204, Anson County, North Carolina",37,007,920400,1,370079204001
572,"Block Group 2, Census Tract 9204, Anson County, North Carolina",37,007,920400,2,370079204002
1676,"Block Group 3, Census Tract 9204, Anson County, North Carolina",37,007,920400,3,370079204003
922,"Block Group 1, Census Tract 9205.01, Anson County, North Carolina",37,007,920501,1,370079205011
749,"Block Group 1, Census Tract 9205.02, Anson County, North Carolina",37,007,920502,1,370079205021
531,"Block Group 2, Census Tract 9205.02, Anson County, North Carolina",37,007,920502,2,370079205022
1511,"Block Group 3, Census Tract 9205.02, Anson County, North Carolina",37,007,920502,3,370079205023
1578,"Block Group 4, Census Tract 9205.02, Anson County, North Carolina",37,007,920502,4,370079205024
1425,"Block Group 1, Census Tract 9206, Anson County, North Carolina",37,007,920600,1,370079206001
944,"Block Group 2, Census Tract 9206, Anson County, North Carolina",37,007,920600,2,370079206002
1072,"Block Group 3, Census Tract 9206, Anson County, North Carolina",37,007,920600,3,370079206003
1298,"Block Group 1, Census Tract 9800, Anson County, North Carolina",37,007,980000,1,370079800001
575,"Block Group 1, Census Tract 9702, Ashe County, North Carolina",37,009,970200,1,370099702001
974,"Block Group 2, Census Tract 9702, Ashe County, North Carolina",37,009,970200,2,370099702002
1349,"Block Group 3, Census Tract 9702, Ashe County, North Carolina",37,009,970200,3,370099702003
1214,"Block Group 1, Census Tract 9703, Ashe County, North Carolina",37,009,970300,1,370099703001
1121,"Block Group 2, Census Tract 9703, Ashe County, North Carolina",37,009,970300,2,370099703002
1149,"Block Group 1, Census Tract 9704, Ashe County, North Carolina",37,009,970400,1,370099704001
1452,"Block Group 2, Census Tract 9704, Ashe County, North Carolina",37,009,970400,2,370099704002
2256,"Block Group 3, Census Tract 9704, Ashe County, North Carolina",37,009,970400,3,370099704003
1151,"Block Group 1, Census Tract 9705.01, Ashe County, North Carolina",37,009,970501,1,370099705011
433,"Block Group 2, Census Tract 9705.01, Ashe County, North Carolina",37,009,970501,2,370099705012
1130,"Block Group 3, Census Tract 9705.01, Ashe County, North Carolina",37,009,970501,3,370099705013
1117,"Block Group 1, Census Tract 9705.02, Ashe County, North Carolina",37,009,970502,1,370099705021
772,"Block Group 2, Census Tract 9705.02, Ashe County, North Carolina",37,009,970502,2,370099705022
979,"Block Group 3, Census Tract 9705.02, Ashe County, North Carolina",37,009,970502,3,370099705023
297,"Block Group 1, Census Tract 9707.01, Ashe County, North Carolina",37,009,970701,1,370099707011
931,"Block Group 2, Census Tract 9707.01, Ashe County, North Carolina",37,009,970701,2,370099707012
774,"Block Group 3, Census Tract 9707.01, Ashe County, North Carolina",37,009,970701,3,370099707013
1671,"Block Group 4, Census Tract 9707.01, Ashe County, North Carolina",37,009,970701,4,370099707014
861,"Block Group 1, Census Tract 9707.02, Ashe County, North Carolina",37,009,970702,1,370099707021
924,"Block Group 2, Census Tract 9707.02, Ashe County, North Carolina",37,009,970702,2,370099707022
401,"Block Group 1, Census Tract 9708.01, Ashe County, North Carolina",37,009,970801,1,370099708011
864,"Block Group 2, Census Tract 9708.01, Ashe County, North Carolina",37,009,970801,2,370099708012
833,"Block Group 3, Census Tract 9708.01, Ashe County, North Carolina",37,009,970801,3,370099708013
1864,"Block Group 1, Census Tract 9708.02, Ashe County, North Carolina",37,009,970802,1,370099708021
350,"Block Group 2, Census Tract 9708.02, Ashe County, North Carolina",37,009,970802,2,370099708022
1156,"Block Group 3, Census Tract 9708.02, Ashe County, North Carolina",37,009,970802,3,370099708023
1324,"Block Group 1, Census Tract 9301, Avery County, North Carolina",37,011,930100,1,370119301001
1653,"Block Group 2, Census Tract 9301, Avery County, North Carolina",37,011,930100,2,370119301002
785,"Block Group 3, Census Tract 9301, Avery County, North Carolina",37,011,930100,3,370119301003
1022,"Block Group 1, Census Tract 9302, Avery County, North Carolina",37,011,930200,1,370119302001
663,"Block Group 2, Census Tract 9302, Avery County, North Carolina",37,011,930200,2,370119302002
1070,"Block Group 3, Census Tract 9302, Avery County, North Carolina",37,011,930200,3,370119302003
1064,"Block Group 1, Census Tract 9303.01, Avery County, North Carolina",37,011,930301,1,370119303011
752,"Block Group 2, Census Tract 9303.01, Avery County, North Carolina",37,011,930301,2,370119303012
543,"Block Group 3, Census Tract 9303.01, Avery County, North Carolina",37,011,930301,3,370119303013
1021,"Block Group 4, Census Tract 9303.01, Avery County, North Carolina",37,011,930301,4,370119303014
630,"Block Group 1, Census Tract 9303.02, Avery County, North Carolina",37,011,930302,1,370119303021
1062,"Block Group 2, Census Tract 9303.02, Avery County, North Carolina",37,011,930302,2,370119303022
796,"Block Group 3, Census Tract 9303.02, Avery County, North Carolina",37,011,930302,3,370119303023
2880,"Block Group 1, Census Tract 9304, Avery County, North Carolina",37,011,930400,1,370119304001
1429,"Block Group 2, Census Tract 9304, Avery County, North Carolina",37,011,930400,2,370119304002
1053,"Block Group 3, Census Tract 9304, Avery County, North Carolina",37,011,930400,3,370119304003
1325,"Block Group 1, Census Tract 9301.01, Beaufort County, North Carolina",37,013,930101,1,370139301011
1199,"Block Group 2, Census Tract 9301.01, Beaufort County, North Carolina",37,013,930101,2,370139301012
918,"Block Group 3, Census Tract 9301.01, Beaufort County, North Carolina",37,013,930101,3,370139301013
408,"Block Group 1, Census Tract 9301.02, Beaufort County, North Carolina",37,013,930102,1,370139301021
653,"Block Group 2, Census Tract 9301.02, Beaufort County, North Carolina",37,013,930102,2,370139301022
611,"Block Group 3, Census Tract 9301.02, Beaufort County, North Carolina",37,013,930102,3,370139301023
1965,"Block Group 1, Census Tract 9302, Beaufort County, North Carolina",37,013,930200,1,370139302001
1877,"Block Group 2, Census Tract 9302, Beaufort County, North Carolina",37,013,930200,2,370139302002
1395,"Block Group 3, Census Tract 9302, Beaufort County, North Carolina",37,013,930200,3,370139302003
819,"Block Group 4, Census Tract 9302, Beaufort County, North Carolina",37,013,930200,4,370139302004
1677,"Block Group 1, Census Tract 9303, Beaufort County, North Carolina",37,013,930300,1,370139303001
635,"Block Group 2, Census Tract 9303, Beaufort County, North Carolina",37,013,930300,2,370139303002
1313,"Block Group 3, Census Tract 9303, Beaufort County, North Carolina",37,013,930300,3,370139303003
617,"Block Group 1, Census Tract 9304, Beaufort County, North Carolina",37,013,930400,1,370139304001
2642,"Block Group 2, Census Tract 9304, Beaufort County, North Carolina",37,013,930400,2,370139304002
764,"Block Group 3, Census Tract 9304, Beaufort County, North Carolina",37,013,930400,3,370139304003
1270,"Block Group 4, Census Tract 9304, Beaufort County, North Carolina",37,013,930400,4,370139304004
1304,"Block Group 1, Census Tract 9305.01, Beaufort County, North Carolina",37,013,930501,1,370139305011
1612,"Block Group 2, Census Tract 9305.01, Beaufort County, North Carolina",37,013,930501,2,370139305012
818,"Block Group 3, Census Tract 9305.01, Beaufort County, North Carolina",37,013,930501,3,370139305013
904,"Block Group 1, Census Tract 9305.02, Beaufort County, North Carolina",37,013,930502,1,370139305021
529,"Block Group 2, Census Tract 9305.02, Beaufort County, North Carolina",37,013,930502,2,370139305022
2078,"Block Group 3, Census Tract 9305.02, Beaufort County, North Carolina",37,013,930502,3,370139305023
1312,"Block Group 1, Census Tract 9306, Beaufort County, North Carolina",37,013,930600,1,370139306001
503,"Block Group 2, Census Tract 9306, Beaufort County, North Carolina",37,013,930600,2,370139306002
1245,"Block Group 3, Census Tract 9306, Beaufort County, North Carolina",37,013,930600,3,370139306003
1027,"Block Group 1, Census Tract 9307, Beaufort County, North Carolina",37,013,930700,1,370139307001
813,"Block Group 2, Census Tract 9307, Beaufort County, North Carolina",37,013,930700,2,370139307002
624,"Block Group 3, Census Tract 9307, Beaufort County, North Carolina",37,013,930700,3,370139307003
819,"Block Group 1, Census Tract 9308, Beaufort County, North Carolina",37,013,930800,1,370139308001
867,"Block Group 2, Census Tract 9308, Beaufort County, North Carolina",37,013,930800,2,370139308002
664,"Block Group 3, Census Tract 9308, Beaufort County, North Carolina",37,013,930800,3,370139308003
884,"Block Group 1, Census Tract 9309, Beaufort County, North Carolina",37,013,930900,1,370139309001
419,"Block Group 2, Census Tract 9309, Beaufort County, North Carolina",37,013,930900,2,370139309002
1470,"Block Group 3, Census Tract 9309, Beaufort County, North Carolina",37,013,930900,3,370139309003
897,"Block Group 4, Census Tract 9309, Beaufort County, North Carolina",37,013,930900,4,370139309004
954,"Block Group 1, Census Tract 9310.01, Beaufort County, North Carolina",37,013,931001,1,370139310011
2026,"Block Group 2, Census Tract 9310.01, Beaufort County, North Carolina",37,013,931001,2,370139310012
1916,"Block Group 1, Census Tract 9310.02, Beaufort County, North Carolina",37,013,931002,1,370139310021
1125,"Block Group 2, Census Tract 9310.02, Beaufort County, North Carolina",37,013,931002,2,370139310022
791,"Block Group 1, Census Tract 9601, Bertie County, North Carolina",37,015,960100,1,370159601001
1197,"Block Group 2, Census Tract 9601, Bertie County, North Carolina",37,015,960100,2,370159601002
1024,"Block Group 3, Census Tract 9601, Bertie County, North Carolina",37,015,960100,3,370159601003
814,"Block Group 4, Census Tract 9601, Bertie County, North Carolina",37,015,960100,4,370159601004
