name,original_names,services,location_count,brand,state,city,address,postcode,lat,lon,phone,website,opening_hours,type,id
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Beeville,502 East Fm 351,78102,28.422055950000008,-97.75344850384612,+1 361-358-4764,https://www.walmart.com/store/463-beeville-tx,24/7,way,634279990
Walmart,Walmart,General Store,1,Walmart,TX,Carrizo Springs,2214 North 1st Street,78834,28.542786,-99.848551,+1 830-876-2462,https://www.walmart.com/store/1046-carrizo-springs-tx,Mo-Su 06:00-23:00,node,5315602299
Walmart,Walmart,General Store,1,Walmart,,,,,28.61906441818181,-106.02920923636366,,,,way,553390371
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Port Lavaca,400 Tiney Browning Boulevard,77979,28.632251023076925,-96.62751818846154,+1 361-552-4116,https://www.walmart.com/store/1098-port-lavaca-tx,24/7,way,623955159
Walmart,Walmart,General Store,1,,,,,,28.6344287875,-106.119584375,,,,way,168058573
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,,,,,28.665789333333333,-106.1307556,,,,way,699080973
Walmart,Walmart; Walmart,General Store,2,,,,San Miguel El Grande,,28.6976727,-106.1387181,,,,node,4443141696
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Eagle Pass,496 South Bibb Avenue,78852,28.701454241379302,-100.48102150344828,+1 830-773-9403,https://www.walmart.com/store/461-eagle-pass-tx,24/7,way,479438571
Walmart Supercenter,Walmart Supercenter; Walmart Supercenter,Supercenter,2,Walmart,,,,,28.72738778,-106.1298238,,,,way,592642153
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Victoria,4001 Houston Highway,77901,28.81606392857142,-96.96038402285714,+1 361-827-7272,https://www.walmart.com/store/4194-victoria-tx,06:00-23:00,way,922339583
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Kenedy,200 Business Park Drive,78119,28.834593628571422,-97.86438107142858,+1 830-583-9825,https://www.walmart.com/store/524-kenedy-tx,24/7,way,563499632
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Victoria,9002 North Navarro Street,77904,28.878210434375,-96.994085475,+1 361-573-0041,https://www.walmart.com/store/330-victoria-tx,24/7,way,291847574
Walmart,Walmart,General Store,1,Walmart,TX,Pearsall,819 North Oak Street,78061,28.89887369230769,-99.0942209,+1 830-334-9451,https://www.walmart.com/store/478-pearsall-tx,06:00-23:00,way,839186653
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Pleasanton,2151 West Oaklawn Road,78064,28.938081166666667,-98.51238405333332,+1 830-569-3879,https://www.walmart.com/store/757-pleasanton-tx,24/7,way,520124880
Walmart,Walmart,General Store,1,Walmart,TX,Cuero,1202 E. Broadway Street,77954,29.08938708571429,-97.2711299857143,+1 361-275-5796,https://www.walmart.com/store/385-cuero-tx,24/7,way,525147382
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Devine,175 Interstate 35 North,78016,29.13337260909091,-98.8943929818182,+1 830-663-5944,https://www.walmart.com/store/4103-devine-tx,06:00-23:00,way,818143744
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Floresville,305 10th Street,78114,29.16248874137931,-98.17992656551726,+1 830-393-4417,https://www.walmart.com/store/465-floresville-tx,24/7,way,565562084
Walmart Garden Center,Walmart Garden Center; Walmart Supercenter,General Store; Supercenter,2,Walmart,,,,,29.2343449,-99.7546154,,,,node,9776311407
Walmart Supercenter,Walmart Supercenter; Walmart Supercenter,Supercenter,2,Walmart,,,,,29.3193877,-100.9557818,,,,node,12095974916
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,8538 Interstate 35 South,78211,29.33855234482759,-98.55470069310346,+1 210-810-3199,https://www.walmart.com/store/3106-san-antonio-tx,Mo-Su 06:00-24:00,way,359929907
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Hondo,109 22nd Street,78861,29.344116540740742,-99.12689602222224,+1 830-426-4356,https://www.walmart.com/store/443-hondo-tx,06:00-23:00,way,708311005
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,3302 Southeast Military Drive,78223,29.348332760606063,-98.43370439696967,+1 210-337-1946,https://www.walmart.com/store/5245-san-antonio-tx,06:00-23:00,way,211124651
Walmart Garden Center,Walmart Garden Center,General Store,1,Walmart,TX,San Antonio,3302 Southeast Military Drive,78223,29.3485002,-98.4325381,+1-210-337-1946,,06:00-23:00,node,11189015310
Walmart Supercenter,Walmart Supercenter; Walmart Garden Center,General Store; Supercenter,2,Walmart,TX,San Antonio,1200 Southeast Military Drive,78214,29.35284591481481,-98.480195,+1 210-921-0800,https://www.walmart.com/store/1313-san-antonio-tx,Mo-Su 06:00-24:00,way,359929903
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Castroville,1151 US Highway 90 East,78009,29.35782232727272,-98.8583874,+1 830-538-2110,https://www.walmart.com/store/4102-castroville-tx,Mo-Su 06:00-24:00,way,704171077
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,7239 Southwest Loop 410,78242,29.358731388235288,-98.63462467058824,+1 210-247-5905,https://www.walmart.com/store/999/san-antonio-tx,Mo-Su 06:00-24:00,way,359929905
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Del Rio,2410 Dodson Avenue,78840,29.395514362068965,-100.90118967931036,+1 830-774-6034,https://www.walmart.com/store/447-del-rio-tx,06:00-23:00,way,199539017
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,2100 Southeast Loop 410,78220,29.399985842105263,-98.38628748947367,+1 210-648-7194,https://www.walmart.com/store/3279-san-antonio-tx,Mo-Su 06:00-01:00,way,359929902
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Antonio,1515 South Ellison Drive,78245,29.416880344444444,-98.679706,+1 210-276-2012,https://www.walmart.com/store/5290-san-antonio-tx,07:00-23:00,way,359929901
