name,brand,state,city,address,postcode,lat,lon,phone,website,opening_hours,type,id
Walmart Garden Center,Walmart,NE,Lincoln,3400 North 85th Street,68507,40.849433,-96.6022653,,,,node,2055381757
Walmart Neighborhood Market,Walmart,CO,Colorado Springs,1622 South Academy Boulevard,80910,38.8075717,-104.7583915,+1-719-244-9294,https://www.walmart.com/store/3082-colorado-springs-co,Mo-Su 05:00-24:00,node,2189955710
Walmart Garden Center,Walmart,,,,,39.4053689,-104.861013,,,,node,2295366635
Walmart Tire & Lube,Walmart Auto Care Center,,,,,39.4055658,-104.8603215,,,,node,2295366944
Walmart Tire & Lube,,,,,,39.5628962,-104.9099703,,,,node,2330009362
Walmart Garden Center,Walmart,,,,,39.5631919,-104.9106837,,,,node,2330009375
Walmart Garden Center,Walmart,,,,,38.739912,-104.735779,,,,node,2384940495
Walmart Garden Center,Walmart,CO,Denver,9400 East Hampden Avenue,80231,39.6525202,-104.878422,+1 720-748-1000,,,node,2752943272
Walmart Tire & Lube,,CO,Denver,9400 East Hampden Avenue,80231,39.6526874,-104.879245,+1-720-748-1000,https://www.walmart.com/,,node,2752943312
Walmart Auto Center,,,,,,36.1137364,-97.118157,,,,node,2779920794
Walmart Garden Center,,,,,,36.1144144,-97.1182838,,,,node,2779920797
Walmart Supercenter,Walmart,OK,Edmond,2200 West Danforth Road,73003,35.6656209,-97.5120795,+1 405-216-0520,https://www.walmart.com/store/2803-edmond-ok,24/7,node,3253828289
Walmart Neighborhood Market,Walmart,OK,Norman,2551 Classen Boulevard,73071,35.193447,-97.4223494,+1 405-515-7418,https://www.walmart.com/store/7308/norman-ok,Mo-Su 06:00-23:00,node,3411423181
Walmart Vision Center,,TX,Buda,690 Old San Antonio Road,78610,30.0867489,-97.8245782,+1-512-295-1687,,,node,3448467774
Walmart Tire and Lube,,TX,Buda,690 Old San Antonio Road,78610,30.0873118,-97.8253923,+1-512-295-1687,,,node,3448475631
Walmart Supercenter,Walmart,OK,Chandler,3100 East 1st Street,74834,35.7117543,-96.8420318,+1 405-258-0541,https://www.walmart.com/store/387-chandler-ok,24/7,node,3554958385
Walmart Tire & Lube Express,,,Lakewood,7455 West Colfax Avenue,80214,39.7428585,-105.080542,+1-303-274-5219,,,node,3628013042
Walmart Tire & Lube Express,,,,,,33.4491773,-104.5270157,,,,node,3706083421
Walmart Garden Center,Walmart,,,,,33.4491998,-104.526289,,,,node,3706084979
Walmart Auto Center,,,,,,35.5627235,-97.6551019,,,,node,3767570260
Walmart,,,,,,36.1140449,-97.1197538,,,,node,3767572985
Walmart,,,,,,36.1136,-97.1191433,,,,node,3767573283
Walmart Auto Center,,,,,,35.526711,-97.5386821,,,,node,3767573285
Walmart,,,,,,36.1139791,-97.1185711,,,,node,3767573387
Walmart Garden Center,Walmart,,,,,35.5262899,-97.5385792,,,,node,3767578061
Walmart Garden Center,,,,,,35.5630753,-97.6548491,,,,node,3767593857
Walmart Tire & Auto,,,,,,37.4824452,-105.9051993,,,,node,4017488822
Walmart Garden Center,Walmart,,,,,37.481811,-105.904955,,,,node,4017488902
Walmart Tire & Lube,,,,,,38.3145581,-104.610316,,https://www.walmart.com/store/842-pueblo-co,,node,4041232429
Walmart Garden Center,Walmart,,,,,38.3142117,-104.61069,,https://www.walmart.com/store/842-pueblo-co,,node,4041232430
Walmart Tire & Lube,,,,,,40.7360279,-96.597864,,,,node,4229667789
Walmart Bakery,,,,,,35.211694,-101.9073747,,,,node,4273091528
Walmart Tire & Lube,,CO,Aurora,5650 South Chambers Road,80015,39.6130111,-104.811255,,,,node,4275009163
Walmart Neighborhood Market,Walmart,CO,Westminster,7170 Federal Boulevard,80030,39.826783,-105.02339,+1-303-200-1043,https://www.walmart.com/store/6177/westminster-co/whats-new,Mo-Su 06:00-24:00,node,4313564436
Walmart,,,,San Miguel El Grande,,28.6976727,-106.1387181,,,,node,4443141696
Walmart Neighborhood Market,Walmart,OK,Del City,4900 South Sooner Road,73135,35.4150524,-97.4219275,+1 405-458-6255,https://www.walmart.com/store/3202-oklahoma-city-ok,Mo-Su 06:00-23:00,node,4654632493
Walmart Supercenter,Walmart,OK,Purcell,2015 South Green Avenue,73080,34.9875394,-97.3702158,+1 405-527-5621,https://www.walmart.com/store/139-purcell-ok,Mo-Su 06:00-01:00,node,4664798249
Walmart Tire & Lube,,,,,,33.1789466,-96.8832388,+1-469-362-6317,,,node,4753534557
Walmart Neighborhood Market,Walmart,TX,Lancaster,350 North Bluegrove Road,75146,32.5907251,-96.7866614,+1 214-459-9928,https://www.walmart.com/store/7224/lancaster-tx,Mo-Su 06:00-24:00,node,4815456905
Walmart,Walmart,TX,Seminole,2000 Hobbs Highway,79360,32.7249201,-102.6666609,+1 432-758-9225,https://www.walmart.com/store/626-seminole-tx,Mo-Su 07:00-22:00,node,5315596609
Walmart,Walmart,OK,Hobart,923 West 11th Street,73651,35.017074,-99.10422,+1 580-726-5693,https://www.walmart.com/store/607-hobart-ok,Mo-Sa 07:00-21:00;Su 09:00-21:00,node,5315596626
