Population,Block_Group_Name,State_FIPS,County_FIPS,Tract_Code,Block_Group_Number,Block_Group_ID
2003,"Block Group 1, Census Tract 201, Anderson County, Tennessee",47,001,020100,1,470010201001
1436,"Block Group 2, Census Tract 201, Anderson County, Tennessee",47,001,020100,2,470010201002
3253,"Block Group 1, Census Tract 202.01, Anderson County, Tennessee",47,001,020201,1,470010202011
1215,"Block Group 2, Census Tract 202.01, Anderson County, Tennessee",47,001,020201,2,470010202012
1359,"Block Group 1, Census Tract 202.02, Anderson County, Tennessee",47,001,020202,1,470010202021
1260,"Block Group 2, Census Tract 202.02, Anderson County, Tennessee",47,001,020202,2,470010202022
1728,"Block Group 3, Census Tract 202.02, Anderson County, Tennessee",47,001,020202,3,470010202023
1586,"Block Group 1, Census Tract 203, Anderson County, Tennessee",47,001,020300,1,470010203001
1114,"Block Group 2, Census Tract 203, Anderson County, Tennessee",47,001,020300,2,470010203002
1420,"Block Group 3, Census Tract 203, Anderson County, Tennessee",47,001,020300,3,470010203003
850,"Block Group 1, Census Tract 204, Anderson County, Tennessee",47,001,020400,1,470010204001
2213,"Block Group 2, Census Tract 204, Anderson County, Tennessee",47,001,020400,2,470010204002
1261,"Block Group 3, Census Tract 204, Anderson County, Tennessee",47,001,020400,3,470010204003
1310,"Block Group 1, Census Tract 205, Anderson County, Tennessee",47,001,020500,1,470010205001
854,"Block Group 2, Census Tract 205, Anderson County, Tennessee",47,001,020500,2,470010205002
1896,"Block Group 3, Census Tract 205, Anderson County, Tennessee",47,001,020500,3,470010205003
1376,"Block Group 1, Census Tract 206, Anderson County, Tennessee",47,001,020600,1,470010206001
951,"Block Group 2, Census Tract 206, Anderson County, Tennessee",47,001,020600,2,470010206002
792,"Block Group 1, Census Tract 207, Anderson County, Tennessee",47,001,020700,1,470010207001
777,"Block Group 2, Census Tract 207, Anderson County, Tennessee",47,001,020700,2,470010207002
1640,"Block Group 1, Census Tract 208, Anderson County, Tennessee",47,001,020800,1,470010208001
1347,"Block Group 2, Census Tract 208, Anderson County, Tennessee",47,001,020800,2,470010208002
1584,"Block Group 3, Census Tract 208, Anderson County, Tennessee",47,001,020800,3,470010208003
1412,"Block Group 1, Census Tract 209.01, Anderson County, Tennessee",47,001,020901,1,470010209011
1819,"Block Group 2, Census Tract 209.01, Anderson County, Tennessee",47,001,020901,2,470010209012
1176,"Block Group 3, Census Tract 209.01, Anderson County, Tennessee",47,001,020901,3,470010209013
1058,"Block Group 4, Census Tract 209.01, Anderson County, Tennessee",47,001,020901,4,470010209014
2342,"Block Group 1, Census Tract 209.02, Anderson County, Tennessee",47,001,020902,1,470010209021
2771,"Block Group 2, Census Tract 209.02, Anderson County, Tennessee",47,001,020902,2,470010209022
321,"Block Group 3, Census Tract 209.02, Anderson County, Tennessee",47,001,020902,3,470010209023
1079,"Block Group 4, Census Tract 209.02, Anderson County, Tennessee",47,001,020902,4,470010209024
1080,"Block Group 1, Census Tract 210.01, Anderson County, Tennessee",47,001,021001,1,470010210011
1568,"Block Group 2, Census Tract 210.01, Anderson County, Tennessee",47,001,021001,2,470010210012
2199,"Block Group 1, Census Tract 210.02, Anderson County, Tennessee",47,001,021002,1,470010210021
1104,"Block Group 2, Census Tract 210.02, Anderson County, Tennessee",47,001,021002,2,470010210022
1595,"Block Group 1, Census Tract 211, Anderson County, Tennessee",47,001,021100,1,470010211001
1236,"Block Group 2, Census Tract 211, Anderson County, Tennessee",47,001,021100,2,470010211002
1419,"Block Group 3, Census Tract 211, Anderson County, Tennessee",47,001,021100,3,470010211003
1695,"Block Group 1, Census Tract 212.01, Anderson County, Tennessee",47,001,021201,1,470010212011
1063,"Block Group 2, Census Tract 212.01, Anderson County, Tennessee",47,001,021201,2,470010212012
1626,"Block Group 3, Census Tract 212.01, Anderson County, Tennessee",47,001,021201,3,470010212013
826,"Block Group 4, Census Tract 212.01, Anderson County, Tennessee",47,001,021201,4,470010212014
1144,"Block Group 1, Census Tract 212.02, Anderson County, Tennessee",47,001,021202,1,470010212021
1104,"Block Group 2, Census Tract 212.02, Anderson County, Tennessee",47,001,021202,2,470010212022
1620,"Block Group 3, Census Tract 212.02, Anderson County, Tennessee",47,001,021202,3,470010212023
1491,"Block Group 4, Census Tract 212.02, Anderson County, Tennessee",47,001,021202,4,470010212024
1291,"Block Group 1, Census Tract 213.01, Anderson County, Tennessee",47,001,021301,1,470010213011
2225,"Block Group 2, Census Tract 213.01, Anderson County, Tennessee",47,001,021301,2,470010213012
1018,"Block Group 1, Census Tract 213.03, Anderson County, Tennessee",47,001,021303,1,470010213031
1811,"Block Group 2, Census Tract 213.03, Anderson County, Tennessee",47,001,021303,2,470010213032
1143,"Block Group 3, Census Tract 213.03, Anderson County, Tennessee",47,001,021303,3,470010213033
1728,"Block Group 1, Census Tract 213.04, Anderson County, Tennessee",47,001,021304,1,470010213041
1494,"Block Group 2, Census Tract 213.04, Anderson County, Tennessee",47,001,021304,2,470010213042
0,"Block Group 1, Census Tract 9801, Anderson County, Tennessee",47,001,980100,1,470019801001
1766,"Block Group 1, Census Tract 9501, Bedford County, Tennessee",47,003,950100,1,470039501001
2827,"Block Group 2, Census Tract 9501, Bedford County, Tennessee",47,003,950100,2,470039501002
1327,"Block Group 1, Census Tract 9502.01, Bedford County, Tennessee",47,003,950201,1,470039502011
2099,"Block Group 2, Census Tract 9502.01, Bedford County, Tennessee",47,003,950201,2,470039502012
1583,"Block Group 1, Census Tract 9502.02, Bedford County, Tennessee",47,003,950202,1,470039502021
1784,"Block Group 2, Census Tract 9502.02, Bedford County, Tennessee",47,003,950202,2,470039502022
623,"Block Group 3, Census Tract 9502.02, Bedford County, Tennessee",47,003,950202,3,470039502023
2046,"Block Group 1, Census Tract 9503, Bedford County, Tennessee",47,003,950300,1,470039503001
1247,"Block Group 2, Census Tract 9503, Bedford County, Tennessee",47,003,950300,2,470039503002
1607,"Block Group 1, Census Tract 9504.01, Bedford County, Tennessee",47,003,950401,1,470039504011
2099,"Block Group 2, Census Tract 9504.01, Bedford County, Tennessee",47,003,950401,2,470039504012
2455,"Block Group 3, Census Tract 9504.01, Bedford County, Tennessee",47,003,950401,3,470039504013
2453,"Block Group 1, Census Tract 9504.02, Bedford County, Tennessee",47,003,950402,1,470039504021
2290,"Block Group 2, Census Tract 9504.02, Bedford County, Tennessee",47,003,950402,2,470039504022
2586,"Block Group 3, Census Tract 9504.02, Bedford County, Tennessee",47,003,950402,3,470039504023
1432,"Block Group 1, Census Tract 9505, Bedford County, Tennessee",47,003,950500,1,470039505001
2159,"Block Group 2, Census Tract 9505, Bedford County, Tennessee",47,003,950500,2,470039505002
1052,"Block Group 3, Census Tract 9505, Bedford County, Tennessee",47,003,950500,3,470039505003
2452,"Block Group 4, Census Tract 9505, Bedford County, Tennessee",47,003,950500,4,470039505004
1187,"Block Group 1, Census Tract 9506, Bedford County, Tennessee",47,003,950600,1,470039506001
2055,"Block Group 2, Census Tract 9506, Bedford County, Tennessee",47,003,950600,2,470039506002
2351,"Block Group 3, Census Tract 9506, Bedford County, Tennessee",47,003,950600,3,470039506003
1897,"Block Group 4, Census Tract 9506, Bedford County, Tennessee",47,003,950600,4,470039506004
1719,"Block Group 1, Census Tract 9507, Bedford County, Tennessee",47,003,950700,1,470039507001
1574,"Block Group 2, Census Tract 9507, Bedford County, Tennessee",47,003,950700,2,470039507002
1583,"Block Group 1, Census Tract 9508, Bedford County, Tennessee",47,003,950800,1,470039508001
1501,"Block Group 2, Census Tract 9508, Bedford County, Tennessee",47,003,950800,2,470039508002
592,"Block Group 1, Census Tract 9630, Benton County, Tennessee",47,005,963000,1,470059630001
729,"Block Group 2, Census Tract 9630, Benton County, Tennessee",47,005,963000,2,470059630002
925,"Block Group 3, Census Tract 9630, Benton County, Tennessee",47,005,963000,3,470059630003
